,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-09-05 06:37:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13648.991528087894,5.602825197188604,100415.86439395786,0.0
2019-09-05 06:38:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13650.51957132349,1.5280432355945233,100417.39243719346,0.0
2019-09-05 06:39:00,0.0,0.0,203.73909807945506,0.0,86766.87286586995,13646.444789361902,-4.0747819615882905,100413.31765523186,0.0
2019-09-05 06:40:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13639.82326867432,-6.621520687582058,100406.69613454428,0.0
2019-09-05 06:41:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13636.767182203126,-3.0560864711919415,100403.6400480731,0.0
2019-09-05 06:42:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13635.239138967529,-1.5280432355974185,100402.1120048375,0.0
2019-09-05 06:43:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13630.145661515544,-5.093477451984639,100397.01852738552,0.0
2019-09-05 06:44:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13640.332616419517,10.186954903972174,100407.20548228949,0.0
2019-09-05 06:45:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13656.122396520675,15.789780101157882,100422.99526239064,0.0
2019-09-05 06:46:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13666.818699169846,10.696302649170349,100433.69156503982,0.0
2019-09-05 06:47:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13665.290655934248,-1.5280432355974185,100432.16352180422,0.0
2019-09-05 06:48:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13668.85609015064,3.5654342163930113,100435.72895602061,0.0
2019-09-05 06:49:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13663.762612698652,-5.0934774519875345,100430.63547856863,0.0
